Rank;Codigo_Instituicao;Instituicao;Exportacao_Quant;Exportacao_Valor;Importacao_Quant;Importacao_Valor;Transf_Exterior_Quant;Transf_Exterior_Valor;Transf_pExterior_Quant;Transf_pExterior_Valor;Mercado_Primario_Quant;Mercado_Primario_Valor;Mercado_Interbancario_Quant;Mercado_Interbancario_Valor;Total_Geral_Quant;Total_Geral_Valor;Data_Ref
32;62.232.889;BANCO DAYCOVAL S.A.;209.0;74702533.0;385.0;21253413.0;514.0;21371106.0;3028.0;82057008.0;4136.0;199384061.0;1472.0;655827651.0;5608.0;855211711.0;2014-00
33;61.088.183;BANCO MIZUHO DO BRASIL S.A.;16.0;34943904.0;6.0;359480.0;17.0;98241839.0;25.0;3054485.0;64.0;136599708.0;75.0;615665553.0;139.0;752265261.0;2014-00
35;13.059.145;BEXS BANCO DE C∂MBIO S/A;12.0;45118680.0;121.0;4073692.0;179.0;51966584.0;451.0;59009113.0;763.0;160168068.0;510.0;335651939.0;1273.0;495820007.0;2014-00
38;62.144.175;BANCO PINE S.A.;14.0;22391820.0;15.0;16064699.0;5.0;1704362.0;54.0;14729399.0;88.0;54890279.0;23.0;367540801.0;111.0;422431080.0;2014-00
39;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;784.0;83498267.0;1367.0;81530526.0;334.0;69031804.0;1512.0;16748219.0;3997.0;250808815.0;82.0;161718532.0;4079.0;412527348.0;2014-00
40;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO;5.0;22804517.0;27.0;80316081.0;5.0;77370681.0;67.0;14402515.0;104.0;194893793.0;23.0;195348531.0;127.0;390242324.0;2014-00
41;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.;29.0;705202.0;429.0;10720564.0;815.0;6322097.0;1878.0;97464765.0;3151.0;115212627.0;3343.0;226156495.0;6494.0;341369121.0;2014-00
42;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO;5.0;1483645.0;2.0;12427592.0;156.0;53544226.0;101.0;12550964.0;264.0;80006428.0;105.0;226860617.0;369.0;306867045.0;2014-00
44;33.923.798;BANCO MµXIMA S.A.;23.0;557884.0;340.0;14178351.0;74.0;10886484.0;322.0;22741995.0;759.0;48364714.0;1574.0;215559060.0;2333.0;263923774.0;2014-00
47;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.;9.0;3474959.0;15.0;2352743.0;20.0;77625081.0;63.0;93821048.0;107.0;177273831.0;19.0;30019058.0;126.0;207292890.0;2014-00
49;3.609.817;BANCO CARGILL S.A.;38.0;93489413.0;;;2.0;1037639.0;11.0;2354556.0;51.0;96881607.0;10.0;97250000.0;61.0;194131607.0;2014-00
50;2.992.317;TREVISO CORRETORA DE C∂MBIO S.A.;8.0;140400.0;68.0;1237950.0;369.0;3379898.0;1500.0;27177992.0;1945.0;31936239.0;2178.0;145328704.0;4123.0;177264944.0;2014-00
51;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A;22.0;337194.0;153.0;1957920.0;1302.0;11129563.0;6883.0;85489128.0;8360.0;98913805.0;875.0;76365467.0;9235.0;175279272.0;2014-00
52;7.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.;90.0;42371239.0;167.0;20197127.0;64.0;3123256.0;282.0;26917836.0;603.0;92609458.0;57.0;80422074.0;660.0;173031532.0;2014-00
53;17.453.575;ICBC DO BRASIL BANCO MÈLTIPLO S.A.;2.0;17333333.0;6.0;6982663.0;8.0;56880456.0;10.0;720984.0;26.0;81917436.0;12.0;82978000.0;38.0;164895436.0;2014-00
55;32.648.370;FAIR CORRETORA DE CAMBIO S.A.;44.0;951375.0;857.0;26750319.0;675.0;11105408.0;2753.0;49024194.0;4329.0;87831297.0;587.0;65881019.0;4916.0;153712315.0;2014-00
57;58.616.418;BANCO FIBRA S.A.;107.0;17300308.0;162.0;14522720.0;138.0;25266587.0;240.0;23410615.0;647.0;80500231.0;82.0;71550271.0;729.0;152050502.0;2014-00
58;72.760.713;RENOVA S.A. CORRETORA DE C∂MBIO;9.0;141068.0;86.0;2274562.0;243.0;2162862.0;1200.0;11718933.0;1538.0;16297425.0;897.0;131373541.0;2435.0;147670966.0;2014-00
59;10.690.848;BANCO DA CHINA BRASIL S.A.;3.0;294535.0;14.0;37295142.0;25.0;68796451.0;29.0;1746146.0;71.0;108132274.0;15.0;35800000.0;86.0;143932274.0;2014-00
60;13.728.156;WESTERN UNION CORRETORA DE C∂MBIO S.A.;1.0;30366.0;29.0;303106.0;490.0;14086743.0;1460.0;65083571.0;1980.0;79503787.0;1339.0;61395453.0;3319.0;140899240.0;2014-00
62;00.250.699;AGK CORRETORA DE CAMBIO S.A.;30.0;1101887.0;776.0;34753872.0;423.0;17531978.0;975.0;16121224.0;2204.0;69508961.0;261.0;52812541.0;2465.0;122321502.0;2014-00
63;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA;69.0;2521680.0;1024.0;30960735.0;817.0;12556905.0;2587.0;24713756.0;4497.0;70753075.0;618.0;47553733.0;5115.0;118306808.0;2014-00
