Rank;Codigo_Instituicao;Instituicao;Exportacao_Quant;Exportacao_Valor;Importacao_Quant;Importacao_Valor;Transf_Exterior_Quant;Transf_Exterior_Valor;Transf_pExterior_Quant;Transf_pExterior_Valor;Mercado_Primario_Quant;Mercado_Primario_Valor;Mercado_Interbancario_Quant;Mercado_Interbancario_Valor;Total_Geral_Quant;Total_Geral_Valor;Extra;Extra_23
45;00.997.185;BANCO B3 S.A.;;;;;140.0;113169770.0;134.0;160940890.0;274.0;274110660.0;74.0;89566778.0;348.0;363677438.0;;2022-01
46;03.609.817;BANCO CARGILL S.A.;21.0;153449733.0;1.0;49271.0;2.0;211755.0;17.0;2250767.0;41.0;155961527.0;4.0;200000000.0;45.0;355961527.0;;2022-01
47;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;5.0;60438854.0;19.0;2435743.0;35.0;112602763.0;51.0;9007756.0;110.0;184485116.0;21.0;168493196.0;131.0;352978312.0;;2022-01
48;00.416.968;BANCO INTER S.A.;15.0;18107534.0;6.0;71570.0;7181.0;12532353.0;2775.0;134388428.0;9977.0;165099886.0;69.0;170381161.0;10046.0;335481047.0;;2022-01
49;01.181.521;BANCO COOPERATIVO SICREDI S.A.;642.0;22644079.0;751.0;38996564.0;604.0;112325894.0;358.0;15189429.0;2355.0;189155967.0;18.0;123670355.0;2373.0;312826322.0;;2022-01
50;00.360.305;CAIXA ECONOMICA FEDERAL;104.0;41186458.0;91.0;8370192.0;7652.0;51289919.0;663.0;43113852.0;8510.0;143960421.0;363.0;126214109.0;8873.0;270174530.0;;2022-01
51;13.059.145;BEXS BANCO DE CÂMBIO S/A;18.0;35398883.0;94.0;5016914.0;10383.0;29654248.0;90365.0;70048573.0;100860.0;140118618.0;194.0;118068710.0;101054.0;258187328.0;;2022-01
52;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.;10.0;1715149.0;189.0;10933854.0;182.0;25025386.0;1228.0;94111227.0;1609.0;131785617.0;198.0;114867743.0;1807.0;246653360.0;;2022-01
53;73.622.748;B&T CORRETORA DE CAMBIO LTDA.;135.0;3221939.0;798.0;30064286.0;3644.0;23507211.0;3242.0;56966031.0;7819.0;113759468.0;1787.0;101097781.0;9606.0;214857249.0;;2022-01
54;28.811.341;STONEX BANCO DE CÂMBIO S.A.;20.0;4073929.0;62.0;2012846.0;3481.0;92593146.0;176.0;4003704.0;3739.0;102683625.0;223.0;98507901.0;3962.0;201191526.0;;2022-01
55;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;149.0;5605637.0;1653.0;38013779.0;1588.0;22607104.0;3449.0;44821317.0;6839.0;111047836.0;423.0;81611451.0;7262.0;192659287.0;;2022-01
56;61.024.352;BANCO VOITER S.A.;50.0;16666712.0;75.0;15213020.0;117.0;13313971.0;834.0;71913760.0;1076.0;117107463.0;69.0;64230669.0;1145.0;181338132.0;;2022-01
57;45.246.410;BANCO GENIAL S.A.;38.0;3713773.0;20.0;4134475.0;253.0;47443568.0;367.0;54058765.0;678.0;109350580.0;25.0;70170422.0;703.0;179521003.0;;2022-01
58;10.690.848;BANCO DA CHINA BRASIL S.A.;14.0;27568506.0;14.0;5365497.0;17.0;178234.0;77.0;38300263.0;122.0;71412500.0;61.0;106249664.0;183.0;177662164.0;;2022-01
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.;107.0;2853496.0;1041.0;33785274.0;494.0;10326999.0;1416.0;20605459.0;3058.0;67571229.0;889.0;62026351.0;3947.0;129597580.0;;2022-01
60;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.;11.0;23183786.0;21.0;10891889.0;7.0;1525981.0;63.0;7721176.0;102.0;43322831.0;24.0;83450973.0;126.0;126773804.0;;2022-01
61;30.723.886;BANCO MODAL S.A.;8.0;1385428.0;47.0;13382761.0;97.0;17322814.0;157.0;39207547.0;309.0;71298550.0;5.0;50000000.0;314.0;121298550.0;;2022-01
62;61.186.680;BANCO BMG S.A.;1.0;900000.0;;;17.0;423283.0;48.0;3786439.0;66.0;5109723.0;7.0;112495445.0;73.0;117605168.0;;2022-01
63;00.250.699;AGK CORRETORA DE CAMBIO S.A.;149.0;4195757.0;832.0;31649018.0;441.0;9543633.0;612.0;11406178.0;2034.0;56794585.0;549.0;47262615.0;2583.0;104057200.0;;2022-01
64;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.;124.0;2689137.0;1272.0;35038719.0;344.0;4927655.0;1087.0;13492438.0;2827.0;56147949.0;588.0;46036141.0;3415.0;102184090.0;;2022-01
65;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.;83.0;1593095.0;733.0;18407602.0;1788.0;9231466.0;1649.0;19206302.0;4253.0;48438464.0;2680.0;47732742.0;6933.0;96171206.0;;2022-01
66;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;26.0;82453015.0;;;25.0;13682516.0;;;51.0;96135531.0;;;51.0;96135531.0;;2022-01
67;62.144.175;BANCO PINE S.A.;16.0;10182165.0;181.0;24806820.0;5.0;1383870.0;26.0;6478173.0;228.0;42851027.0;9.0;45995350.0;237.0;88846377.0;;2022-01
68;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;;7513.0;36041381.0;10103.0;40338143.0;17616.0;76379524.0;169.0;10942917.0;17785.0;87322442.0;;2022-01
69;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;;836.0;9494375.0;3079.0;31151436.0;3915.0;40645811.0;2976.0;30055184.0;6891.0;70700994.0;;2022-01
70;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.;23.0;580667.0;632.0;24686329.0;184.0;4639626.0;575.0;7349338.0;1414.0;37255960.0;1046.0;33233748.0;2460.0;70489708.0;;2022-01
71;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A;27.0;800143.0;261.0;5394467.0;1742.0;12319113.0;2802.0;22803028.0;4832.0;41316751.0;837.0;21655067.0;5669.0;62971818.0;;2022-01
72;02.318.507;BANCO KEB HANA DO BRASIL S.A.;;;29.0;6787426.0;42.0;826487.0;131.0;23603975.0;202.0;31217888.0;53.0;30313314.0;255.0;61531202.0;;2022-01
73;59.118.133;BANCO LUSO BRASILEIRO S.A.;68.0;8765492.0;147.0;8936815.0;25.0;3601746.0;139.0;3685240.0;379.0;24989294.0;254.0;33829062.0;633.0;58818355.0;;2022-01
74;60.889.128;BANCO SOFISA S.A.;119.0;21078608.0;34.0;3066567.0;12.0;3655604.0;78.0;5279103.0;243.0;33079882.0;29.0;23252771.0;272.0;56332653.0;;2022-01
75;15.357.060;BANCO WOORI BANK DO BRASIL S.A.;7.0;433004.0;58.0;14996507.0;76.0;4969513.0;218.0;10473785.0;359.0;30872809.0;115.0;23145674.0;474.0;54018483.0;;2022-01
76;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.;23.0;15608376.0;30.0;2249930.0;37.0;515616.0;84.0;3930096.0;174.0;22304018.0;53.0;28639020.0;227.0;50943038.0;;2022-01
77;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.;1.0;3352057.0;;;10.0;91071.0;46.0;18483257.0;57.0;21926384.0;10.0;26941630.0;67.0;48868014.0;;2022-01
78;00.000.208;BRB - BANCO DE BRASILIA S.A.;;;2.0;48945.0;43.0;23011003.0;200.0;1171503.0;245.0;24231451.0;12.0;23515387.0;257.0;47746838.0;;2022-01
79;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;1.0;42365.0;15.0;225940.0;615.0;2627932.0;957.0;6190514.0;1588.0;9086751.0;1169.0;36891904.0;2757.0;45978655.0;;2022-01
80;76.641.497;DOURADA CORRETORA DE CÂMBIO LTDA.;73.0;7582972.0;235.0;8208506.0;344.0;2658552.0;792.0;7839737.0;1444.0;26289767.0;692.0;18378793.0;2136.0;44668560.0;;2022-01
81;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;1.0;20000000.0;3.0;260736.0;;;12.0;38185.0;16.0;20298920.0;2.0;20240000.0;18.0;40538920.0;;2022-01
82;92.894.922;BANCO ORIGINAL S.A.;1.0;30448.0;6.0;3974016.0;65.0;60260.0;134.0;12941067.0;206.0;17005791.0;17.0;22596305.0;223.0;39602096.0;;2022-01
83;50.579.044;LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.;26.0;1446519.0;442.0;14127626.0;159.0;1425128.0;507.0;3323655.0;1134.0;20322928.0;568.0;17550163.0;1702.0;37873091.0;;2022-01
84;36.658.769;BANCO XCMG BRASIL S.A.;;;4.0;16425420.0;;;2.0;1988.0;6.0;16427408.0;3.0;16434481.0;9.0;32861889.0;;2022-01
85;04.062.902;VISION S.A. CORRETORA DE CAMBIO;35.0;482106.0;271.0;8363646.0;1817.0;2428438.0;316.0;3572203.0;2439.0;14846393.0;627.0;14576916.0;3066.0;29423309.0;;2022-01
86;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;;9.0;9352355.0;4.0;3921041.0;13.0;13273396.0;6.0;12525000.0;19.0;25798396.0;;2022-01
87;02.038.232;BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB;95.0;7550251.0;112.0;3224891.0;102.0;3123877.0;41.0;8916533.0;350.0;22815553.0;5.0;2021250.0;355.0;24836803.0;;2022-01
