Rank;Codigo_Instituicao;Instituicao;Exportacao_Quant;Exportacao_Valor;Importacao_Quant;Importacao_Valor;Transf_Exterior_Quant;Transf_Exterior_Valor;Transf_pExterior_Quant;Transf_pExterior_Valor;Mercado_Primario_Quant;Mercado_Primario_Valor;Mercado_Interbancario_Quant;Mercado_Interbancario_Valor;Total_Geral_Quant;Total_Geral_Valor;Extra;Extra_23
115;94.968.518;DECYSEO CORRETORA DE CAMBIO LTDA.;3.0;65914.0;29.0;1199036.0;150.0;877384.0;195.0;1924531.0;377.0;4066865.0;139.0;3714189.0;516.0;7781053.0;;2022-01
116;06.132.348;LABOR SOCIEDADE CORRETORA DE CÂMBIO LTDA.;14.0;473246.0;52.0;1147908.0;242.0;1260819.0;370.0;1843626.0;678.0;4725599.0;220.0;2713251.0;898.0;7438850.0;;2022-01
117;80.202.872;CORREPARTI CORRETORA DE CAMBIO LTDA;5.0;215213.0;111.0;2005249.0;51.0;286003.0;110.0;637022.0;277.0;3143486.0;230.0;3104687.0;507.0;6248174.0;;2022-01
118;15.482.499;TURCÂMBIO - CORRETORA DE CÂMBIO LTDA.;2.0;8842.0;26.0;562772.0;310.0;1205507.0;367.0;2044412.0;705.0;3821532.0;216.0;1963915.0;921.0;5785448.0;;2022-01
119;25.280.945;AVS CORRETORA DE CÂMBIO LTDA.;24.0;83437.0;37.0;772569.0;151.0;374525.0;373.0;2045467.0;585.0;3275999.0;231.0;2464071.0;816.0;5740070.0;;2022-01
120;30.183.111;TURMA CORRETORA DE CÂMBIO LTDA;;;4.0;170237.0;85.0;280760.0;256.0;1328872.0;345.0;1779869.0;335.0;3250996.0;680.0;5030865.0;;2022-01
121;61.444.949;SAGITUR CORRETORA DE CÂMBIO LTDA.;;;35.0;1475409.0;102.0;267912.0;75.0;300241.0;212.0;2043562.0;127.0;2589246.0;339.0;4632808.0;;2022-01
122;61.033.106;BANCO CREFISA S.A.;;;;;2.0;2258000.0;5.0;40337.0;7.0;2298337.0;3.0;2316173.0;10.0;4614510.0;;2022-01
123;00.806.535;PLANNER CORRETORA DE VALORES S.A.;;;16.0;631586.0;27.0;963683.0;45.0;613940.0;88.0;2209209.0;82.0;2209209.0;170.0;4418419.0;;2022-01
124;17.312.083;H H PICCHIONI S/A CORRETORA DE CAMBIO E VALORES MOBILIARIOS;;;;;148.0;319688.0;442.0;1927714.0;590.0;2247402.0;205.0;1730082.0;795.0;3977483.0;;2022-01
125;33.042.151;BANCO DE LA NACION ARGENTINA;1.0;1200000.0;2.0;340591.0;347.0;218291.0;20.0;115200.0;370.0;1874082.0;4.0;1770000.0;374.0;3644082.0;;2022-01
126;71.590.442;LASTRO RDV DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;7.0;64548.0;41.0;844356.0;43.0;254244.0;101.0;669823.0;192.0;1832971.0;168.0;1805507.0;360.0;3638478.0;;2022-01
127;73.279.093;PACIFIC INVEST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;1.0;104700.0;3.0;260804.0;229.0;148987.0;753.0;1423099.0;986.0;1937590.0;142.0;1664164.0;1128.0;3601754.0;;2022-01
128;59.615.005;PATACÃO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;5.0;308765.0;18.0;869925.0;14.0;63242.0;60.0;498675.0;97.0;1740606.0;52.0;1707694.0;149.0;3448300.0;;2022-01
129;17.635.177;CONEXION CORRETORA DE CÂMBIO LTDA.;;;3.0;177429.0;22.0;70395.0;239.0;1300567.0;264.0;1548391.0;406.0;1500792.0;670.0;3049183.0;;2022-01
130;04.902.979;BANCO DA AMAZONIA S.A.;24.0;1309741.0;9.0;356574.0;11.0;106487.0;29.0;97065.0;73.0;1869866.0;7.0;1140000.0;80.0;3009866.0;;2022-01
131;17.312.661;AMARIL FRANKLIN CORRETORA DE TÍTULOS E VALORES LTDA;45.0;1117343.0;8.0;121231.0;6.0;80008.0;21.0;141361.0;80.0;1459945.0;73.0;1435327.0;153.0;2895272.0;;2022-01
132;28.762.249;SADOC SOCIEDADE CORRETORA DE CÂMBIO LTDA.;4.0;67100.0;;;134.0;607857.0;130.0;823110.0;268.0;1498067.0;36.0;870772.0;304.0;2368839.0;;2022-01
133;15.122.605;LÚMINA CORRETORA DE CÂMBIO LTDA.;;;;;220.0;553978.0;209.0;1002280.0;429.0;1556258.0;90.0;669485.0;519.0;2225743.0;;2022-01
134;13.673.855;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;12.0;307673.0;18.0;450393.0;25.0;304822.0;55.0;1062888.0;48.0;1062888.0;103.0;2125777.0;;2022-01
135;08.520.517;SOL CORRETORA DE CÂMBIO LTDA.;;;;;112.0;508357.0;186.0;976582.0;298.0;1484939.0;87.0;592357.0;385.0;2077296.0;;2022-01
136;15.168.152;CONSEGTUR CORRETORA DE CÂMBIO LTDA.;;;6.0;82553.0;17.0;77071.0;148.0;708516.0;171.0;868141.0;168.0;882641.0;339.0;1750781.0;;2022-01
137;23.010.182;GOOD CORRETORA DE CÂMBIO LTDA;;;;;120.0;296643.0;208.0;839273.0;328.0;1135916.0;92.0;528623.0;420.0;1664539.0;;2022-01
138;49.336.860;ING BANK N.V.;;;;;3.0;586017.0;7.0;67229.0;10.0;653247.0;2.0;992267.0;12.0;1645513.0;;2022-01
139;59.285.411;BANCO PAN S.A.;;;;;8.0;74218.0;28.0;691703.0;36.0;765921.0;5.0;750000.0;41.0;1515921.0;;2022-01
140;16.927.221;AMAZÔNIA CORRETORA DE CÂMBIO LTDA.;;;;;49.0;59520.0;114.0;636278.0;163.0;695798.0;137.0;618294.0;300.0;1314092.0;;2022-01
141;21.040.668;GLOBAL EXCHANGE DO BRASIL SOCIEDADE CORRETORA DE CÂMBIO LTDA.;;;;;148.0;570053.0;164.0;433793.0;312.0;1003846.0;7.0;139970.0;319.0;1143815.0;;2022-01
142;62.280.490;DIBRAN DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;;;;7.0;70020.0;121.0;480805.0;128.0;550825.0;88.0;510885.0;216.0;1061710.0;;2022-01
143;18.145.784;NUMATUR CORRETORA DE CÂMBIO LTDA.;;;;;58.0;27211.0;147.0;368757.0;205.0;395968.0;36.0;350713.0;241.0;746681.0;;2022-01
144;16.854.999;SINGRATUR CORRETORA DE CÂMBIO LTDA;;;;;35.0;33745.0;88.0;290970.0;123.0;324715.0;108.0;263066.0;231.0;587782.0;;2022-01
145;20.155.248;PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;;;;98.0;65228.0;219.0;246747.0;317.0;311975.0;13.0;124074.0;330.0;436049.0;;2022-01
146;00.460.065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;;91.0;123677.0;96.0;173290.0;187.0;296966.0;4.0;72705.0;191.0;369671.0;;2022-01
147;15.761.217;CORRETORA DE CÂMBIO AÇORIANA LIMITADA.;;;;;7.0;5157.0;72.0;134017.0;79.0;139174.0;65.0;119675.0;144.0;258849.0;;2022-01
148;03.443.143;AVIPAM CORRETORA DE CAMBIO LTDA;;;;;1.0;5556.0;9.0;48400.0;10.0;53956.0;9.0;53896.0;19.0;107852.0;;2022-01
149;15.077.393;MEGA CORRETORA DE CÂMBIO LTDA.;;;;;18.0;13735.0;22.0;53147.0;40.0;66883.0;6.0;36921.0;46.0;103804.0;;2022-01
150;09.512.542;CODEPE CORRETORA DE VALORES E CÂMBIO S.A.;;;;;;;10.0;11809.0;10.0;11809.0;3.0;53002.0;13.0;64811.0;;2022-01
151;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;;;;10.0;20953.0;10.0;20953.0;9.0;17453.0;19.0;38406.0;;2022-01
152;54.403.563;BANCO ARBI S.A.;4.0;29946.0;;;;;4.0;7785.0;8.0;37731.0;;;8.0;37731.0;;2022-01
153;33.886.862;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;;;;;;;;;;;2.0;13000.0;2.0;13000.0;;2022-01
154;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES;;;;;5.0;7730.0;4.0;3391.0;9.0;11121.0;;;9.0;11121.0;;2022-01
